artist_name,track_name,genre,tempo,danceability,energy,valence,loudness,acousticness,instrumentalness,liveness,speechiness,id
Adonis,We're Rockin' Down The House,chicago-house,122.485,0.804,0.448,0.479,-15.237,0.000391,0.896,0.0782,0.115,1EsMJkbO5pMD1XDbuvEiv3
Barbara Tucker,Beautiful People - Original Club Mix,chicago-house,123.864,0.798,0.768,0.596,-6.722,0.0306,8.46e-06,0.214,0.126,5YIvtouBcs9w8JTZyRRZ2N
Frankie Knuckles,Sacrifice,chicago-house,116.645,0.823,0.518,0.588,-14.343,0.00278,0.000147,0.099,0.0489,2owzh9DY13qz780J83EezE
Thievery Corporation,Khalghi Stomp,chicago-house,170.037,0.515,0.934,0.97,-6.774,0.00695,0.916,0.919,0.0328,0yOkjMOg4lKTQWoUncrOCY
Nicolas Jaar,Wouh,chicago-house,168.032,0.708,0.36,0.133,-13.166,0.28,0.801,0.0757,0.0846,44Q1QGgYuGX7vl5tgfrHNO
S'Express,Hey Music Lover,chicago-house,124.044,0.668,0.93,0.812,-3.953,0.0227,0.146,0.218,0.0766,1jz0l8UZ8nQE5NOjnvmaMY
Happy Mondays,Hallelujah - Club Mix,chicago-house,98.009,0.62,0.908,0.575,-6.773,0.00315,0.19,0.417,0.0349,3lzzAHJwHjSpA71ftgzDeX
Various Artists,Dream Girl (Wet Dream Mix),chicago-house,122.503,0.8,0.857,0.449,-9.336,0.0133,0.748,0.106,0.0484,1yeotiZcER2QYJg6kkkAYl
Nicolas Matar,No One Belongs Here More Than You,chicago-house,124.122,0.81,0.636,0.307,-11.094,0.000717,0.788,0.0993,0.0386,7i88YAydIawfnI10ZGdDiA
Various Artists,Subzero,chicago-house,124.991,0.796,0.605,0.127,-11.661,0.578,0.875,0.102,0.067,0SSZR0TTrvDttPqiBQZkig
Various Artists,Boompty Boomp Theme,chicago-house,124.022,0.796,0.947,0.808,-10.761,0.0138,0.623,0.155,0.0564,7yrOtaYnsW2uh5eGiTOcaW
Dam Swindle,The Make Up - Original Mix,chicago-house,123.011,0.793,0.872,0.334,-10.012,0.00357,0.741,0.309,0.0735,6YuTukyIl3K7mZPdrcq5Ei
The Salsoul Orchestra,You're Just the Right Size,chicago-house,115.479,0.646,0.833,0.859,-11.441,0.0175,0.689,0.238,0.0482,7gCa4DoUQgR34O2B7DbMQI
Various Artists,Searchin' Hard - Mike Dunn's AC mix,chicago-house,120.714,0.471,0.932,0.733,-8.831,0.00117,0.088,0.342,0.0596,6skXSSQ1HURFOndYySENe8
Various Artists,Set It Out - Long Version,chicago-house,120.658,0.833,0.873,0.798,-9.254,0.029,0.0248,0.0519,0.076,16wFwAryftSe5gOZKl7Sg9
Heyl,My Piano - Original 1990 Mix,chicago-house,124.912,0.605,0.857,0.598,-9.866,0.0982,0.77,0.0715,0.0301,501oHLxlJSpwJQPLz7Ba85
Newcleus,Jam On It,chicago-house,116.806,0.804,0.782,0.346,-6.224,0.00302,0.0872,0.662,0.0606,1lB2kyB5h9ceZ388GBfC9L
Various Artists,Let Me Love You For Tonight (House Version),chicago-house,111.49,0.794,0.469,0.518,-14.455,0.000224,0.0429,0.0641,0.0477,4cXF5W01jmXX5P3QIeBxdK
