artist_name,track_name,genre,tempo,danceability,energy,valence,id
Various Artists,Crazy Wild,chicago-house,126.736,0.816,0.465,0.495,2hCqvaRlbl8HhzzocPFZiB
Frankie Knuckles,Sacrifice,chicago-house,116.645,0.823,0.518,0.588,2owzh9DY13qz780J83EezE
Derrick May,Strings of Life,chicago-house,128.103,0.714,0.878,0.509,6RSmWJzW67qDXRyjs8wRob
Various Artists,The Acid Life,chicago-house,123.247,0.747,0.959,0.546,1tnHsVeArIFRpzQvFchZCt
"Farley ""Jackmaster"" Funk",The Acid Life (Extended Version),chicago-house,123.247,0.745,0.982,0.434,1C5mlEzLQp7tyjoHCyPk5r
Various Artists,Who's Hoo,chicago-house,124.028,0.785,0.557,0.0794,0aRwOtxHFdRDrdlgkDtv3o
Kraftwerk,The Robots - 2009 Remaster,chicago-house,115.023,0.806,0.765,0.353,5eqZWYQ5tbIehx00NeKXz7
Various Artists,If You Only Knew - Original Mix,chicago-house,124.425,0.785,0.581,0.715,3A0NvKt7C10PabkPZOF3cN
Lisa Lisa & Cult Jam,Let the Beat Hit 'Em,chicago-house,113.009,0.791,0.794,0.83,3moIzZXPmJL8ctyaFKAxFo
Frankie Knuckles,Ride the Rhythm (Frank Knuckles Mix) [Remastered],chicago-house,122.003,0.804,0.881,0.726,7vWKEY4WZVG9vWDVTkIpfu
I-F,Space Invaders Are Smoking Grass,chicago-house,132.192,0.383,0.661,0.306,5IMkl51S87vaP8BkUOJ9Vt
Krewella,Live for the Night,club,127.932,0.499,0.843,0.533,457p7UH7hoHrbA2iI4PSCA
Daft Punk,Lose Yourself to Dance (feat. Pharrell Williams),club,100.163,0.832,0.659,0.674,5CMjjywI0eZMixPeqNd75R
LMFAO,Sexy And I Know It,club,130.014,0.71,0.851,0.822,7in46wlBseKBTcLi6lyhF9
Various Artists,Inspector Norse,club,119.994,0.912,0.773,0.882,5pXUfSLHQvhlizSKQiqfeG
Tiësto,Wasted,club,112.014,0.638,0.816,0.386,7m3povhdMDLZwuEKak0l0n
Knife Party,Boss Mode,club,176.046,0.542,0.978,0.313,0ywS1RVLEGyv3xuXLUKUrc
Bag Raiders,Shooting Stars,club,124.944,0.636,0.72,0.425,0UeYCHOETPfai02uskjJ3x
Various Artists,Find You,club,127.973,0.537,0.759,0.377,1gpF8IwQQj8qOeVjHfIIDU
Gesaffelstein,Pursuit,club,108.982,0.682,0.934,0.0708,4CWphe0MVPMJYRtGLjOLU9
Gold Panda,You,club,179.856,0.505,0.955,0.655,5gUhWFZCwtxk78xGfAluBQ
Knife Party,Bonfire,club,174.031,0.536,0.944,0.589,0QIYINh2AwmOmdu8CRYvlw
Tiësto,Red Lights,club,124.993,0.654,0.811,0.562,6oP02i1hRc3Qp9bd36Ya3Z
Yelle,Complètement fou,club,126.052,0.823,0.506,0.512,77sVUchtzjpetfDZC9L59d
Stromae,Formidable,club,70.568,0.513,0.628,0.501,382n05RtneO3ykQlFQrAd1
Duke Dumont,I Got U,club,120.837,0.636,0.761,0.463,69gQgkobVW8bWjoCjBYQUd
ZHU,Faded,club,124.979,0.867,0.477,0.614,2GQEM9JuHu30sGFvRYeCxz
Sub Focus,Tidal Wave,club,173.96,0.522,0.868,0.514,2OXK1ShksXD51tOLsE0E7s
Calvin Harris,Summer,club,127.962,0.603,0.861,0.72,7b71WsDLb8gG0cSyDTFAEW
Krewella,Enjoy the Ride,club,127.993,0.556,0.873,0.485,6UEJtAnGHnK5tVhoPHD6tU
Chromeo,Come Alive (feat. Toro y Moi),club,129.934,0.843,0.757,0.946,5NK982GwMI332zcnpeqX5t
Alle Farben,She Moves,club,116.959,0.821,0.507,0.652,3vI5AzbPh1HFDdGs1dDQeR
The Chemical Brothers,Hey Boy Hey Girl,club,127.001,0.632,0.92,0.363,7kXmJwrZGIhDaLT9sNo3ut
LMFAO,Shots,club,128.016,0.825,0.856,0.207,1V4jC0vJ5525lEF1bFgPX2
Aphex Twin,180db_ [130],club,130.064,0.828,0.61,0.564,2VfEcR59Czu8ii3u6kKeP8
Knife Party,Begin Again,club,127.986,0.636,0.968,0.553,00G9AjByuF3sHRtnJQjPa9
Avicii,Hey Brother,club,125.014,0.545,0.78,0.458,4RXpgGM7A4Hg7cFBoH5KyF
NERO,Promises,club,143.935,0.489,0.952,0.293,4A7qcJp2Sg867JST1pSPJz
